Characteristic;Description;Level;Level Description;Related Work;Activities;Tool;Recommendation;Priority
Execution & Delivery;Ability to ship products efficiently, reliably, and iteratively.;1;"Understands delivery concepts but doesn’t yet lead them.
Understand team rituals and basic delivery workflows; observe how functions sync (Eng, Design, QA)";;"- Observing sprint planning, standups, retros
- Reading release notes
Asking clarifying questions about blockers
Join shadow grooming sessions
Documents learnings
Attend sprint demos; shadow syncs between PM, Eng, and QA";"Jira (basic navigation, ticket lifecycle)
Notion / Confluence (reading specs and notes)
 Google Docs/Sheets (documenting learnings, release checklists)
- Agile/Scrum 101 course (e.g., Atlassian, Coursera)
- Read Inspired by Marty Cagan";"Shadow a PM during planning and retrospectives
Read and summarize sprint reports or release notes
Ask developers/QA how things actually get delivered
Take a Scrum or Agile basics course";
;;2;"Starts managing execution within small scope.
Own sprint rituals and basic delivery for your scope; coordinate with Design and QA to remove blockers";;"- Drives a minor release cycle
- Manages small backlog items
Leads a grooming session
Practice writing clear tickets
Facilitate basic standups or grooming sessions; track dependencies with Design";"- Learn Jira/Linear deeply
Study RACI and team roles
Jira / Linear (ticket creation, workflows, filters)
Slack (for async status updates, reminders)
Miro (for sprint planning, workflows)";"- Proactively removes simple blockers
Uses metrics like cycle time or velocity to reflect on delivery efficiency
Ask for feedback and participate retrospectives and ask for area where help is needed
Practice writing well-scoped, testable user stories
Run a sprint review or grooming session
Learn about dependencies and buffer planning
Start tracking your own tasks and blockers proactively";
;;3;"Can deliver end-to-end on roadmap items with confidence
Drive timely delivery across multiple teams; align roadmaps and delivery with x-functional stakeholders";;"- Manages cross-functional delivery
- Coordinates QA/UAT cycles
Handles rescoping or bug prioritization
- Learn Agile facilitation (e.g., Scrum Master practices)
- Create delivery dashboards
Reflect on risk mitigation practices
- Improves team rituals (e.g., retros, demos)
Balances tech debt with velocity
Lead retrospectives and planning meetings with Eng/Design; coordinate rollout plans";"Jira Dashboards / Advanced Roadmaps
ClickUp or Notion (for release documentation)
Google Sheets (for quick release and cycle time analysis)
";"Establish delivery KPIs (velocity, cycle time)
Proactively manage scope and stakeholder expectations
Conduct retros with clear improvement actions
Develop contingency plans for missed deadlines
";
;;4;"Drives continuous improvement and team delivery excellence.
Orchestrate program-level delivery across squads; ensure consistent cadence and communication across teams";;"- Introduces new agile practices
- Resolves systemic blockers
Reduces cycle time or increases predictability
Build cross-squad delivery maps; resolve integration bottlenecks

";"Jira Automation
Asana / Trello / Linear (if managing multi-tool teams)
Looker / Amplitude (if tying delivery to usage outcomes)
";"Identify and remove recurring delivery friction points
Facilitate cross-team delivery alignment
Design or refine sprint and release rituals
Educate the team on estimation, velocity, and planning hygiene
📚 Learning
- Deep dive into lean/agile (e.g., Kanban, SAFe)
- Learn how to run delivery health audits
🌟 Differentiation
- Creates a delivery playbook
- Coaches other PMs or engineers on planning quality";
;;5;"Delivery becomes a strategic strength for the product/org
Oversee delivery strategy across functions; resolve resource conflicts and prioritize org-level commitments";;"- Designs org-wide delivery systems
- Transforms struggling teams
- Ties delivery metrics to OKRs and roadmap velocity

Manage a delivery board for execs; run org-wide prioritization syncs";"	Airtable / Coda (for system design or planning ops)
	Jira Portfolio / Advanced Reports
	Loom / Notion / Confluence (for scalable knowledge sharing)
";"Create a delivery playbook or internal wiki
Influence engineering leadership on delivery systems
Coach PMs on delivery leadership and planning mindset
Align delivery with OKRs and company bets

📚 Learning
- Study org design and scaling delivery models (e.g., Team Topologies)
- Join executive delivery retros
🌟 Differentiation
- Creates a delivery culture that’s seen as a strategic advantage
- Presents delivery improvements at internal or public forums";
Roadmap & Metrics;This domain represents a PM’s ability to define and communicate a product roadmap, align it with strategy, and measure success using meaningful KPIs. It includes outcome thinking, milestone planning, goal-setting, and connecting product work to business impact.;1;"I have a basic knowledge on how the roadmap is built. I am aware of the product KPIs.
Understand how roadmaps and KPIs are built and tracked.
Start participating in milestone and success metric discussions.";"PO: I can translate roadmap items into the backlog, I discuss the items with the teams and can clarify the roadmap/backlog items with assistance.
Product ops (if available) for templates
Engineering managers for milestone tracking
Designers and tech leads for timeline feasibility
";"Minimal contribution to the roadmap, e.g. working on several individual features and their updates
Not responsible or accountable for the whole roadmap
Participate in meetings 
Understand release cadence and terminology
Ask about product goals during team planning
Participate in retrospectives to learn what success looks like
Support roadmap documentation and ticket linking
";"Jira, Confluence
Jira: tickets tied to epics
Confluence: roadmap pages
Google Sheets: shared KPI logs or OKRs

";"Learn the roadmap tools available on the market and the ones used in the company
Observe how roadmap I managed by other PMs in the company and ask questions on why / how to make one or another
Ask for guidance on how to start or take an available initiatives
	Read “Product Roadmaps Relaunched”
	Learn about OKRs (e.g., Measure What Matters – John Doerr)
	Shadow a quarterly roadmap review
🌱 Growth Rec:
Ask to lead one small roadmap item end-to-end
Try defining an OKR for a feature area you own
";
;;2;"I can contribute to the existing roadmap, update the items, get the changes as soon as they are discussed or shared with me.
Take ownership of a portion of the roadmap and track related metrics.";"PO: I can create detailed backlog items (if needed) and discuss those with the teams. I can help teams with backlog division, acceptance criteria and target delivery dates clarifications.
Analysts to help track metrics
Customer Success: feedback loops
GTM: roadmap alignment before launches
";"Handles small tasks, contributes to documents, participates in discussions.
Define success criteria for features
Build mini-roadmaps (3–6 months)
Use feedback and usage data to adjust plans
Own OKRs or KPIs for your scope
";"Productboard
Productboard / Aha! / Jira Advanced Roadmaps
Amplitude or Mixpanel: track feature usage
Google Data Studio: build basic dashboards
";"Request regular feedback, write reflections, and improve based on retrospectives.
“Escaping the Build Trap” – Melissa Perri
Learn to write measurable OKRs
Analyze previous roadmap performance
🌱 Growth Rec:
Present roadmap and KPIs at internal meetings
Run a feature retrospective with metrics impact
";
;;3;"I can independently update the roadmap, manage the incoming requests and I am responsible for roadmap up-to-date state in the online tool(s). I organize the roadmap in a way that it is easy to work with it, run filters and build dashboards
Own a product roadmap with cross-team alignment and outcome accountability.";"PO: I can manage the teams backlog independently and translate all incoming requests into the working tasks for the teams. I can lead and contribute to the development rituals.
Revenue/Marketing to align product-market timing
Sales on customer commitments
Engineering leads for feasibility and risks
";"Leads regular workstreams, drives progress, resolves common blockers.
Align roadmap to product strategy
Prioritize based on impact, effort, and market needs
Tie product initiatives to revenue or usage KPIs
Create quarterly/annual planning narratives
";"Airtable, Miro
Notion/Confluence for roadmap narratives
Advanced tracking (Looker, Tableau, Metabase)
Prioritization frameworks (RICE, MoSCoW, Impact/Effort)
";"Look for cross-team challenges, mentor juniors, and experiment with tooling.
	Inspired – Marty Cagan (roadmapping philosophy)
	Lenny’s Newsletter on product planning rituals
	Reforge: Advanced Roadmaps or Metrics for PMs
🌱 Growth Rec:
Own roadmap across squads
Launch KPI dashboards with alerting or trends
Facilitate cross-functional roadmap alignment
";
;;4;"I can manage roadmap for one or several products independently, manage the dependencies and be open top of potential risks. I improve the roadmap intake process and optimize it according to the team and product needs.
Drive multi-quarter roadmaps across products or teams, tying product outcomes to business metrics.";"PO: I can organize the backlog in a way that it is filled with the scope for the team for the next 2 sprints, the rituals and refinement processes are clear and the teams can work independently without PM/PO bottleneck tasks (with some exceptions).
Product directors and finance for strategic bets
Leadership for cross-org capacity planning
BI and Growth to validate impact
";"Initiates improvements, defines best practices, shares learnings.

Lead strategic planning and cross-product sequencing
Align product OKRs to company goals
Drive initiative success with clear KPI frameworks
Manage risk, runway, and roadmap adaptability
";"Roadmunk, etc
OKR alignment tools (Koan, Perdoo, Ally)
Portfolio management (Aha!, Jira Align)
Funnel dashboards by feature and region
";"Speak at events, write thought pieces, collaborate on team-wide frameworks.
“Good Strategy / Bad Strategy” – Richard Rumelt
Reforge: Metrics & Models or Product Leadership
Attend OKR retrospectives or board roadmap reviews
🌱 Growth Rec:
Lead roadmap alignment across departments
Present initiative success in terms of KPI impact
Coach PMs on strategic planning and trade-offs
";
;;5;"The roadmap is clean. I define and keep track on all characteristics of how it is organized, it serves the need of internal teams, product management org and communication with the customers. It has its process to update and solve ambiguities.

Set long-term product direction, define success levers, and inspire cross-org execution through compelling roadmaps.";"CPO, Finance, Strategy leads
Data science for impact modeling
Execs & board for vision buy-in
";"Defines strategy, trains others, resolves complex challenges.
Create vision-backed roadmaps with quantified impact
Own business-critical metrics across the org
Lead yearly/3-year roadmap planning
Coach others in metric-based storytelling
";"Every tool can be adopted easily and mentored / consulted for others 
Custom KPI dashboards for board/executive visibility
Strategy docs connected to KPI success and risk
Investment tracking tools (TAM/SAM/SOM market models)
";"Teach, lead org-wide initiatives, or codify a playbook for your org.
“Playing to Win” – A.G. Lafley
SVPG workshops (Empowered, Transformed)
Reforge: Advanced Strategy or Product Leadership
🌱 Growth Rec:
Lead product investment planning
Connect multi-year product roadmap with market trends
Shape KPI literacy across the org
";
Prioritization;"Ability to prioritize features, tasks, or technical debt using structured frameworks.
The ability to effectively evaluate, compare, and select initiatives, features, or tasks to maximize value delivery under constraints";1;"Understand basic prioritization logic and observe how decisions are made.
Develop curiosity about how features are chosen.
Learn to distinguish between nice-to-have and must-have.
Begin linking priorities to user and business value through observation.
";"QA/Design reviewing acceptance criteria and aligning on value
Supporting engineers with testing the “critical” path";"Attend grooming sessions and roadmap discussions
Ask clarifying questions about why certain things are prioritized
Help document backlog items and observe how decisions are made";"	Notion / Confluence – to read strategy docs or backlogs
	Trello / Jira (viewer role) – to understand ticket priority states
	Google Sheets – to see scoring templates (RICE, MoSCoW) used by others";"	Learn prioritization frameworks: MoSCoW, RICE, ICE
	Create sample scoring tables for personal side projects
	Reflect on value vs effort tradeoffs and ask “what if” questions during grooming
";
;;2;"Practice applying prioritization frameworks and contribute structured input.
Learn and apply simple models (e.g., MoSCoW, RICE).
Justify prioritization with clear effort vs. impact reasoning.
Collaborate with stakeholders to understand their priority drivers.
";"UX Designers prioritizing usability issues
Support agents surfacing high-friction areas from users
";"Suggest value/effort scores for backlog items
Propose items to deprioritize or split
Capture stakeholder input and convert to structured prioritization input";"Airtable or Google Sheets – simple scoring and matrix tables
Miro – for visual value vs effort quadrants
Jira – for backlog ordering and sprint commitment management";"Practice justifying prioritization decisions with business impact
Run an experiment with different prioritization models (e.g., compare RICE vs Kano)
Learn how tech constraints influence priorities";
;;3;"Own and adapt prioritization of backlog items based on product goals and constraints.
Regularly reprioritize based on new inputs (data, feedback, scope).
Align prioritization with team capacity, business objectives, and product vision.
Communicate trade-offs clearly and defend decisions with evidence.
";"Sales prioritizing roadmap asks for deals
CS/Marketing contributing to launch-critical needs
";"Maintain a living backlog that reflects product goals
Run structured prioritization workshops with stakeholders
Reprioritize regularly based on data and feedback";"Productboard / airfocus – structured prioritization + roadmap sync
Jira Advanced Roadmaps – for backlog slicing by themes/initiatives
Amplitude / Mixpanel – to validate product impact post-delivery";"Conduct prioritization retros (what worked, what didn’t)
Read Escaping the Build Trap (Melissa Perri) or Build What Matters
Start aligning your team’s priorities to OKRs more explicitly
";
